time,plant_id,plant_name,inverter_id,inverter_name,power_kw,power_kw_max_last_12_readings,power_kw_count_existing_last_12_readings,is_daylight,daylight_start,daylight_end,is_alarmed
2022-11-09 15:15:00+01,1,Alcolea,19,inversor4,177.36,339.04,12,True,2022-11-09 10:21:06.311456+01,2022-11-09 15:51:32.808466+01,False
2022-11-09 15:15:00+01,1,Alcolea,18,inversor3,276.76,352.78,12,True,2022-11-09 10:21:06.311456+01,2022-11-09 15:51:32.808466+01,False
2022-11-09 15:15:00+01,1,Alcolea,17,inversor2,327.5,343.4,12,True,2022-11-09 10:21:06.311456+01,2022-11-09 15:51:32.808466+01,False
2022-11-09 15:15:00+01,1,Alcolea,16,inversor1,0,0,12,True,2022-11-09 10:21:06.311456+01,2022-11-09 15:51:32.808466+01,True
2022-11-09 15:15:00+01,3,Fontivsolar,29,inversor8,24.33,81.73,12,True,2022-11-09 10:26:22.928931+01,2022-11-09 15:40:31.77167+01,False
2022-11-09 15:15:00+01,3,Fontivsolar,28,inversor7,24.02,82.86,12,True,2022-11-09 10:26:22.928931+01,2022-11-09 15:40:31.77167+01,False
2022-11-09 15:15:00+01,3,Fontivsolar,27,inversor6,22.88,82.24,12,True,2022-11-09 10:26:22.928931+01,2022-11-09 15:40:31.77167+01,False
2022-11-09 15:15:00+01,3,Fontivsolar,26,inversor5,24.46,82.28,12,True,2022-11-09 10:26:22.928931+01,2022-11-09 15:40:31.77167+01,False
2022-11-09 15:15:00+01,3,Fontivsolar,25,inversor4,22.83,83.09,12,True,2022-11-09 10:26:22.928931+01,2022-11-09 15:40:31.77167+01,False
2022-11-09 15:15:00+01,3,Fontivsolar,24,inversor3,22.52,82.28,12,True,2022-11-09 10:26:22.928931+01,2022-11-09 15:40:31.77167+01,False
2022-11-09 15:15:00+01,3,Fontivsolar,23,inversor2,22.76,81.98,12,True,2022-11-09 10:26:22.928931+01,2022-11-09 15:40:31.77167+01,False
2022-11-09 15:15:00+01,3,Fontivsolar,22,inversor1,22.31,83.13,12,True,2022-11-09 10:26:22.928931+01,2022-11-09 15:40:31.77167+01,False
2022-11-09 15:15:00+01,6,Florida,21,inversor2,0,0,11,True,2022-11-09 10:20:44.68356+01,2022-11-09 15:51:09.58858+01,NULL
2022-11-09 03:15:00+01,6,Florida,20,inversor1,0,0,11,False,2022-11-09 10:20:44.68356+01,2022-11-09 15:51:09.58858+01,NULL
2022-11-09 15:15:00+01,7,Matallana,31,inversor4,369.23,391.22,12,True,2022-11-09 10:20:40.802847+01,2022-11-09 15:51:00.455715+01,False
2022-11-09 15:15:00+01,7,Matallana,30,inversor3,373.72,390.39,12,True,2022-11-09 10:20:40.802847+01,2022-11-09 15:51:00.455715+01,False
2022-11-09 15:15:00+01,7,Matallana,33,inversor2,NULL,390.4,7,True,2022-11-09 10:20:40.802847+01,2022-11-09 15:51:00.455715+01,NULL
2022-11-09 15:15:00+01,7,Matallana,32,inversor1,366.25,448,12,True,2022-11-09 10:20:40.802847+01,2022-11-09 15:51:00.455715+01,False
